                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5908,                 2.5467,                 1.2782,                0.80355,                0.28438,                0.32559,                0.19649,                      0,                    inf,                      0,                0.07028,              0.0033022,              0.0033022
                      1,                 1.4368,                 1.4596,                 1.1487,                 0.5394,                0.49547,                0.48038,                 0.2828,                      0,                    inf,                      0,               0.040149,              0.0065041,              0.0065041
                      2,                  1.432,                 1.2847,                  1.118,                 0.5621,                0.55338,                0.49647,                0.26566,                      0,                    inf,                      0,              0.0098856,              0.0095741,              0.0095741
                      3,                   1.39,                 1.1955,                 1.0995,                0.62728,                0.58523,                0.57255,                0.33545,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.3385,                 1.1288,                 1.0812,                0.69881,                0.53655,                0.60153,                0.34265,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                  1.319,                 1.0654,                 1.0709,                0.75134,                0.63971,                0.71201,                0.43068,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                  1.293,                 1.0273,                 1.0614,                0.75538,                0.64256,                0.72171,                0.44231,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.2545,                0.98108,                 1.0469,                0.78571,                0.68301,                0.77061,                0.47655,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.2355,                0.95267,                 1.0403,                0.77358,                0.68898,                0.74773,                0.44627,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                 1.2252,                0.93599,                 1.0352,                0.76812,                  0.694,                0.75841,                0.46742,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.2054,                0.90651,                 1.0262,                0.79996,                0.72768,                0.79038,                0.48665,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                  1.207,                0.89441,                 1.0286,                0.78618,                0.74354,                 0.7992,                0.50543,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.1856,                0.87307,                 1.0181,                0.80739,                0.73336,                0.78995,                0.49276,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     13,                 1.1579,                0.86139,                 1.0125,                0.83525,                0.73535,                0.81485,                0.51737,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     14,                 1.1629,                0.84114,                 1.0093,                0.80356,                 0.7458,                0.81251,                0.51085,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.1392,                0.82867,                 1.0103,                0.81417,                0.75092,                0.80159,                0.51153,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     16,                 1.1378,                0.81519,                 1.0059,                0.82556,                0.77656,                0.83174,                0.53273,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     17,                 1.1219,                0.80037,                0.99598,                0.83405,                 0.7636,                0.83585,                0.53115,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     18,                 1.1317,                0.80958,                 1.0046,                0.87479,                0.75239,                0.83974,                0.54404,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     19,                  1.111,                0.78895,                0.99428,                0.87584,                0.75821,                0.83478,                0.53339,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     20,                  1.096,                 0.7732,                0.99325,                0.82743,                0.76447,                 0.8281,                0.53852,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     21,                  1.093,                0.77449,                0.99377,                0.85669,                 0.7776,                0.84421,                 0.5502,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     22,                 1.0948,                0.76282,                0.98754,                0.85508,                0.77893,                0.83814,                0.55236,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     23,                 1.0734,                0.75049,                0.98472,                 0.8454,                0.76809,                0.83405,                0.53187,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     24,                 1.0815,                0.75567,                0.98702,                0.87467,                0.78509,                0.85665,                0.55425,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     25,                 1.0765,                0.74708,                0.98327,                0.88272,                 0.7796,                0.85899,                0.57098,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     26,                 1.0682,                0.73839,                0.98067,                0.87552,                0.77749,                0.85097,                0.55822,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     27,                 1.0479,                0.72545,                0.97585,                0.84896,                0.80123,                0.86049,                0.56025,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     28,                 1.0471,                0.72074,                0.97317,                0.88887,                0.78376,                0.86054,                0.56937,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     29,                 1.0448,                0.71599,                0.97115,                0.88058,                 0.7859,                0.86297,                0.56871,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     30,                 1.0294,                0.71121,                0.96945,                0.87392,                0.78485,                0.86188,                0.56357,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     31,                  1.034,                0.71023,                0.97055,                0.88888,                0.77743,                0.85839,                 0.5668,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.0247,                0.69557,                0.96506,                0.88876,                0.78108,                0.86247,                0.57636,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.0235,                0.69453,                0.96591,                0.87571,                  0.797,                0.87312,                0.57726,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     34,                 1.0078,                0.68539,                0.95921,                0.88583,                0.80304,                0.86861,                0.57999,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.0018,                0.68076,                0.96073,                 0.8746,                0.79449,                0.87006,                0.58088,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     36,                0.99786,                0.67657,                0.95768,                0.88478,                0.80781,                0.88004,                0.59054,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     37,                0.99525,                 0.6742,                0.95603,                0.85275,                0.81497,                 0.8759,                0.58747,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     38,                0.99799,                0.67066,                0.95357,                0.85546,                0.81788,                0.86875,                 0.5737,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                0.99636,                0.66555,                0.95549,                0.91041,                0.80086,                0.88094,                0.59286,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                 0.9602,                0.64906,                0.94777,                0.89783,                0.81354,                0.88128,                0.58779,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                 0.9467,                0.63492,                0.94174,                0.88988,                0.80184,                0.88095,                0.58672,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                0.93962,                0.63044,                0.93974,                0.88262,                0.80536,                0.88159,                0.59106,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.93726,                0.62625,                0.93729,                0.89873,                0.80946,                0.88594,                0.59311,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.92418,                0.61996,                0.93705,                0.89446,                 0.8143,                 0.8872,                0.59501,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                0.91808,                0.61522,                0.93599,                0.90129,                0.82245,                0.89115,                0.60022,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                 0.9149,                 0.6122,                0.92937,                0.88816,                 0.8142,                0.88751,                0.60205,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.90381,                0.60359,                0.92834,                0.88973,                0.81821,                0.89099,                0.60216,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                0.89446,                0.59809,                0.92651,                0.89044,                0.81718,                0.89288,                0.60789,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                0.89643,                0.59139,                0.92509,                0.89623,                0.82446,                0.89124,                0.61041,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
